epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
1,,4.93883,5.64071,4.50174,0.02946,0.019603,0.013831,,5.31398,7.42749,5.61803
2,,2.986,4.70661,3.51474,0.26117,0.26669,0.14035,,3.74776,6.57888,4.16512
3,,2.98878,4.67038,3.5024,0.27134,0.31488,0.20221,,3.31577,5.78954,3.74985
4,,3.01471,4.66118,3.50252,0.4544,0.46764,0.39228,,2.84093,4.42891,3.24644
5,,2.96931,4.56043,3.44611,0.38422,0.38886,0.33139,,3.41995,4.75812,3.70622
6,,2.89418,4.36296,3.38504,0.58022,0.48901,0.5117,,2.8127,3.55457,3.10013
7,,2.88732,4.26521,3.36691,0.608,0.5441,0.56376,,2.76497,3.32991,3.12087
8,,2.85485,4.11917,3.29812,0.6151,0.53905,0.56884,,2.53253,3.52053,2.94508
9,,2.81129,4.04681,3.26784,0.63435,0.5683,0.60138,,2.4796,3.17547,2.91185
10,,2.75912,3.90072,3.2207,0.6751,0.61274,0.64385,,2.204,2.75997,2.68818
11,,2.72966,3.82026,3.20843,0.65886,0.59398,0.63457,,2.33619,2.96084,2.77162
12,,2.71321,3.75108,3.18972,0.68183,0.59449,0.64702,,2.09778,3.05235,2.65407
13,,2.70532,3.68054,3.16467,0.678,0.63368,0.66556,,2.13116,2.73961,2.64525
14,,2.69155,3.65514,3.15098,0.71364,0.6389,0.66711,,2.23927,2.69002,2.68846
15,,2.63791,3.51734,3.10945,0.71132,0.64081,0.68732,,2.37618,2.647,2.77721
16,,2.62567,3.45519,3.09529,0.73797,0.62721,0.69323,,2.15261,2.48837,2.61981
17,,2.62323,3.44879,3.10022,0.74993,0.65485,0.71469,,2.1391,2.38029,2.58586
18,,2.63211,3.46073,3.08547,0.72963,0.66736,0.72156,,2.12207,2.37683,2.60082
19,,2.6031,3.38381,3.06779,0.73967,0.68632,0.72737,,2.01279,2.2772,2.55514
20,,2.5516,3.29207,3.04515,0.74963,0.68066,0.73311,,2.02889,2.24546,2.53838
21,,2.5515,3.23921,3.02262,0.78271,0.71337,0.76036,,2.20722,2.15373,2.61231
22,,2.53127,3.21156,3.0173,0.75887,0.70588,0.74653,,2.08371,2.19292,2.54298
23,,2.55925,3.26848,3.02618,0.76545,0.71843,0.75859,,2.04167,2.11118,2.52354
24,,2.51194,3.16504,2.98485,0.75971,0.72261,0.75814,,2.0038,2.18208,2.50101
25,,2.49988,3.1299,2.97442,0.76092,0.71084,0.75388,,2.00308,2.09292,2.51126
26,,2.47805,3.12025,2.96732,0.75339,0.70543,0.75474,,1.86694,2.07879,2.42269
27,,2.44666,3.06278,2.94061,0.76731,0.7087,0.75112,,1.99385,2.15768,2.47033
28,,2.44413,3.02639,2.94467,0.77418,0.72749,0.77386,,1.9222,1.98012,2.45404
29,,2.48546,3.05193,2.95119,0.76682,0.71321,0.76324,,1.91248,2.06888,2.43894
30,,2.44018,3.00255,2.94096,0.75882,0.73365,0.76761,,2.12961,2.06003,2.52856
31,,2.4266,2.93505,2.91955,0.75002,0.73883,0.77668,,1.88257,1.98657,2.39532
32,,2.41966,2.94708,2.91437,0.76029,0.73452,0.77463,,1.89527,2.02079,2.41629
33,,2.45529,3.012,2.93285,0.78277,0.73751,0.77775,,1.97388,1.95607,2.46401
34,,2.4303,2.94811,2.90873,0.77025,0.73727,0.77405,,1.86074,2.09363,2.40144
35,,2.41835,2.90393,2.89953,0.76753,0.76144,0.79435,,1.82361,1.87761,2.37487
36,,2.40764,2.87584,2.8872,0.78327,0.76883,0.79863,,1.90874,1.79608,2.41532
37,,2.36804,2.82584,2.89005,0.79153,0.75221,0.79649,,1.81777,1.80264,2.37661
38,,2.37492,2.87815,2.88477,0.75938,0.7687,0.79998,,1.83402,1.84551,2.37758
39,,2.36188,2.83501,2.88221,0.77233,0.7394,0.78415,,1.83825,1.91765,2.36599
40,,2.37272,2.83263,2.87207,0.77089,0.72995,0.78273,,1.83435,1.91204,2.35663
41,,2.38794,2.85669,2.88162,0.76791,0.78161,0.8017,,1.79826,1.75429,2.33137
42,,2.34174,2.80106,2.86694,0.76821,0.7631,0.80258,,1.86319,1.813,2.37348
43,,2.32429,2.7368,2.83334,0.80503,0.76369,0.80839,,1.89237,1.73596,2.38041
44,,2.33847,2.72796,2.84046,0.79436,0.77501,0.81407,,1.75772,1.73531,2.33141
45,,2.33796,2.73907,2.83617,0.7815,0.76396,0.81063,,1.78812,1.73791,2.32332
46,,2.35537,2.77766,2.83952,0.78703,0.78095,0.80965,,1.88482,1.74192,2.38018
47,,2.33643,2.72358,2.83766,0.79725,0.78979,0.81769,,1.8279,1.70277,2.34109
48,,2.29176,2.7024,2.809,0.78502,0.79,0.81705,,1.84524,1.69843,2.34796
49,,2.30313,2.66287,2.81579,0.78878,0.78473,0.813,,1.75042,1.75141,2.30331
50,,2.30912,2.72986,2.81825,0.81255,0.77709,0.81741,,1.83968,1.69923,2.34377
51,,2.31608,2.72305,2.82064,0.7788,0.79616,0.81696,,1.75464,1.63998,2.31252
52,,2.29384,2.68411,2.81382,0.80792,0.77731,0.81814,,1.71389,1.64817,2.26678
53,,2.28912,2.66016,2.80175,0.76636,0.80709,0.81995,,1.75729,1.69058,2.30863
54,,2.25276,2.60099,2.78611,0.80449,0.78805,0.82741,,1.74965,1.6408,2.27798
55,,2.2737,2.62614,2.80511,0.79462,0.80028,0.82357,,1.70795,1.61347,2.27485
56,,2.28012,2.63469,2.79745,0.79175,0.79242,0.8253,,1.79484,1.62492,2.28041
57,,2.27431,2.63438,2.78522,0.80134,0.79372,0.82379,,1.81536,1.65063,2.31247
58,,2.24137,2.57466,2.77096,0.79233,0.80138,0.82259,,1.70369,1.65359,2.27032
59,,2.26726,2.59574,2.78216,0.80744,0.80716,0.83312,,1.9033,1.62598,2.34909
60,,2.25553,2.58888,2.77702,0.79733,0.79736,0.82547,,1.60754,1.57812,2.22642
61,,2.25449,2.56964,2.77073,0.79514,0.81144,0.82575,,1.65627,1.57437,2.23497
62,,2.25908,2.5892,2.7798,0.78772,0.81772,0.82026,,1.69167,1.61781,2.25901
63,,2.20955,2.54339,2.7482,0.80233,0.80414,0.83402,,1.74929,1.58052,2.27034
64,,2.2328,2.52131,2.75579,0.82028,0.79821,0.8328,,1.67906,1.55763,2.25256
65,,2.238,2.57385,2.75337,0.80811,0.81242,0.83334,,1.67711,1.55174,2.26146
66,,2.23483,2.56446,2.76312,0.80097,0.80844,0.8249,,1.68067,1.54318,2.23579
67,,2.22778,2.54313,2.7499,0.81769,0.79852,0.83384,,1.6111,1.52473,2.21026
68,,2.22509,2.53228,2.75646,0.79516,0.81628,0.83393,,1.69534,1.53166,2.22935
69,,2.23787,2.54123,2.75226,0.82268,0.80375,0.82748,,1.67942,1.5159,2.2273
70,,2.23123,2.52644,2.75259,0.80892,0.80281,0.83287,,1.71442,1.55994,2.25052
71,,2.20306,2.47064,2.73426,0.80189,0.80472,0.8305,,1.64065,1.52917,2.21959
72,,2.19781,2.46177,2.72429,0.80499,0.8083,0.83623,,1.70583,1.54628,2.24514
73,,2.22076,2.48716,2.74779,0.80401,0.82671,0.84588,,1.63653,1.47975,2.20752
74,,2.18672,2.45877,2.73267,0.81185,0.79639,0.8401,,1.65266,1.51679,2.22229
75,,2.17498,2.43079,2.71241,0.80183,0.82282,0.84429,,1.66857,1.50371,2.21619
76,,2.21363,2.50299,2.7368,0.81334,0.817,0.84934,,1.61018,1.46782,2.19523
77,,2.2024,2.458,2.72996,0.80045,0.84475,0.84547,,1.64279,1.45179,2.20725
