epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,64.1907,0.97001,1.05591,1.41052,0.83218,0.85941,0.8661,0.73019,0.74701,0.67304,1.17558,0.0041095,0.0041095,0.0041095
121,125.147,0.98368,1.0605,1.41461,0.82794,0.85513,0.8675,0.7305,0.74826,0.67229,1.17496,0.00406,0.00406,0.00406
122,185.715,0.97624,1.05517,1.41253,0.83236,0.8602,0.86956,0.72973,0.75704,0.6709,1.1806,0.0040105,0.0040105,0.0040105
123,246.357,0.97607,1.06024,1.41369,0.83186,0.86179,0.86748,0.72841,0.75415,0.67109,1.17731,0.003961,0.003961,0.003961
124,307.211,0.97975,1.06843,1.41463,0.82942,0.86185,0.86612,0.73172,0.747,0.67053,1.17421,0.0039115,0.0039115,0.0039115
125,368.544,0.96243,1.05406,1.40228,0.83529,0.85609,0.8672,0.72777,0.75585,0.66917,1.17973,0.003862,0.003862,0.003862
126,429.238,0.98651,1.06826,1.42227,0.83068,0.86243,0.86684,0.72955,0.74847,0.66964,1.17627,0.0038125,0.0038125,0.0038125
127,491.831,0.9805,1.05506,1.40953,0.82776,0.86654,0.86808,0.73446,0.74611,0.6654,1.1758,0.003763,0.003763,0.003763
128,553.245,0.98261,1.06708,1.41275,0.83558,0.8643,0.86883,0.73524,0.74587,0.66342,1.1737,0.0037135,0.0037135,0.0037135
129,614.188,0.97041,1.04573,1.40423,0.83282,0.86601,0.87035,0.73604,0.74373,0.66308,1.17245,0.003664,0.003664,0.003664
130,674.614,0.97761,1.06085,1.41905,0.83449,0.86462,0.87032,0.73825,0.74327,0.6615,1.17189,0.0036145,0.0036145,0.0036145
131,735.205,0.97096,1.05334,1.41004,0.83327,0.86634,0.87234,0.74208,0.7364,0.65717,1.16836,0.003565,0.003565,0.003565
132,794.802,0.97319,1.05591,1.40422,0.83474,0.86816,0.87539,0.74166,0.7395,0.6571,1.16842,0.0035155,0.0035155,0.0035155
133,855.816,0.98045,1.05012,1.41404,0.82459,0.87202,0.87429,0.74316,0.73043,0.65855,1.16366,0.003466,0.003466,0.003466
134,916.79,0.96295,1.02845,1.39663,0.83241,0.86064,0.87526,0.74261,0.73603,0.66137,1.16499,0.0034165,0.0034165,0.0034165
135,977.155,0.95508,1.0219,1.394,0.82745,0.8658,0.87836,0.74495,0.73459,0.6599,1.16282,0.003367,0.003367,0.003367
136,1038.17,0.97503,1.04124,1.40969,0.83414,0.85604,0.87472,0.74234,0.73995,0.66248,1.16345,0.0033175,0.0033175,0.0033175
137,1100.69,0.97826,1.06425,1.40682,0.83134,0.86565,0.87632,0.7431,0.74076,0.66114,1.16336,0.003268,0.003268,0.003268
138,1163.98,0.96843,1.04134,1.40267,0.83022,0.86656,0.87539,0.74396,0.73404,0.65715,1.16056,0.0032185,0.0032185,0.0032185
139,1226.61,0.95085,1.01642,1.39524,0.83308,0.86491,0.87575,0.74285,0.73873,0.65458,1.16528,0.003169,0.003169,0.003169
140,1288.51,0.96372,1.01991,1.39474,0.81921,0.87363,0.87525,0.74364,0.73676,0.65155,1.16399,0.0031195,0.0031195,0.0031195
141,1350.1,0.95426,1.02193,1.39255,0.81811,0.87795,0.87678,0.74399,0.73326,0.6504,1.1614,0.00307,0.00307,0.00307
142,1411.77,0.98258,1.0571,1.41151,0.84003,0.85751,0.8774,0.74378,0.73379,0.64971,1.16075,0.0030205,0.0030205,0.0030205
143,1473.01,0.95576,1.02273,1.3894,0.84217,0.85991,0.87733,0.74414,0.73375,0.65152,1.16051,0.002971,0.002971,0.002971
144,1535.3,0.95467,1.01534,1.38874,0.84086,0.85473,0.87687,0.74316,0.73851,0.65179,1.16323,0.0029215,0.0029215,0.0029215
145,1597.11,0.95169,1.02269,1.38855,0.83641,0.85883,0.87717,0.74621,0.73576,0.64996,1.16141,0.002872,0.002872,0.002872
